timestamp,open,high,low,close,volume
2026-06-25T00:09:00-04:00,30033.5,30043.25,30033.0,30040.75,0
2026-06-25T00:10:00-04:00,30041.75,30045.0,30034.5,30034.5,100
2026-06-25T00:11:00-04:00,30033.5,30043.75,30030.5,30040.5,87
2026-06-25T00:12:00-04:00,30040.25,30041.25,30033.25,30035.5,51
2026-06-25T00:13:00-04:00,30036.5,30040.0,30032.5,30040.0,96
2026-06-25T00:14:00-04:00,30040.25,30041.75,30028.75,30029.25,52
2026-06-25T00:15:00-04:00,30030.75,30035.25,30026.25,30032.0,68
2026-06-25T00:16:00-04:00,30031.75,30036.5,30026.0,30027.5,89
2026-06-25T00:17:00-04:00,30027.75,30027.75,30012.75,30017.0,137
2026-06-25T00:18:00-04:00,30016.75,30026.5,30015.0,30026.5,183
2026-06-25T00:19:00-04:00,30025.75,30028.0,30019.0,30027.5,94
2026-06-25T00:20:00-04:00,30027.5,30033.25,30026.75,30027.5,61
2026-06-25T00:21:00-04:00,30027.5,30037.0,30027.25,30036.0,58
2026-06-25T00:22:00-04:00,30037.0,30044.25,30034.5,30043.5,112
2026-06-25T00:23:00-04:00,30040.5,30042.0,30036.75,30038.75,63
2026-06-25T00:24:00-04:00,30038.5,30041.75,30030.75,30030.75,60
2026-06-25T00:25:00-04:00,30030.5,30031.0,30024.75,30028.75,91
2026-06-25T00:26:00-04:00,30028.75,30030.75,30021.5,30021.75,31
2026-06-25T00:27:00-04:00,30022.5,30024.75,30021.75,30022.75,31
2026-06-25T00:28:00-04:00,30023.5,30023.5,30017.5,30020.5,43
2026-06-25T00:29:00-04:00,30018.5,30021.0,30017.75,30017.75,18
2026-06-25T00:30:00-04:00,30020.5,30022.25,30014.25,30015.75,43
2026-06-25T00:31:00-04:00,30015.75,30015.75,30001.5,30002.25,99
2026-06-25T00:32:00-04:00,30003.0,30004.75,29998.5,30002.75,60
2026-06-25T00:33:00-04:00,30001.5,30006.75,29999.0,30005.5,41
2026-06-25T00:34:00-04:00,30005.0,30012.0,30000.75,30012.0,83
2026-06-25T00:35:00-04:00,30012.25,30015.75,30000.25,30004.0,95
2026-06-25T00:36:00-04:00,30004.5,30010.25,30004.0,30009.75,71
2026-06-25T00:37:00-04:00,30011.75,30019.75,30010.25,30019.75,80
2026-06-25T00:38:00-04:00,30018.25,30029.0,30018.25,30023.75,139
2026-06-25T00:39:00-04:00,30024.25,30030.5,30023.5,30027.0,56
2026-06-25T00:40:00-04:00,30026.75,30031.0,30022.75,30022.75,84
2026-06-25T00:41:00-04:00,30022.5,30022.75,30013.5,30016.5,68
