entry_time,R,equity_R,drawdown_R
2017-01-03 10:15:00,0.11262499999997999,0.11262499999997999,0.0
2017-01-03 15:45:00,0.017563580160180503,0.1301885801601605,0.0
2017-01-04 15:15:00,1.5385111598504468,1.6686997400106074,0.0
2017-01-05 08:35:00,1.433792199278785,3.1024919392893926,0.0
2017-01-05 16:25:00,-0.0020866044127952205,3.1004053348765974,-0.002086604412795179
2017-01-06 09:50:00,0.6403008889899444,3.7407062238665416,0.0
2017-01-06 14:40:00,0.04316188932276792,3.7838681131893095,0.0
2017-01-09 08:35:00,-0.2873749999998836,3.496493113189426,-0.2873749999998836
2017-01-09 14:40:00,0.4832759055383121,3.979769018727738,0.0
2017-01-09 15:15:00,-1.0931734890365852,2.886595529691153,-1.0931734890365852
2017-01-10 14:45:00,-0.0601724009254176,2.8264231287657355,-1.1533458899620026
2017-01-11 08:10:00,-1.375,1.4514231287657355,-2.5283458899620026
2017-01-11 09:10:00,-0.2748749999998381,1.1765481287658974,-2.8032208899618407
2017-01-11 09:30:00,-0.03331852510007377,1.1432296036658236,-2.8365394150619148
2017-01-11 16:55:00,0.24796418877091217,1.3911937924367357,-2.5885752262910025
2017-01-13 09:00:00,0.2151162790697794,1.606310071506515,-2.373458947221223
2017-01-16 15:45:00,-0.21937499999989996,1.386935071506615,-2.592833947221123
2017-01-17 09:40:00,-0.18926553672302987,1.1976695347835853,-2.782099483944153
2017-01-17 16:10:00,-0.027400125496760325,1.1702694092868249,-2.8094996094409135
2017-01-18 08:00:00,0.7582500000000891,1.928519409286914,-2.0512496094408244
2017-01-18 14:40:00,-0.1912499999997408,1.7372694092871732,-2.242499609440565
2017-01-18 15:05:00,-0.01961874503583836,1.717650664251335,-2.262118354476403
2017-01-18 15:55:00,0.0679012345679151,1.78555189881925,-2.194217119908488
2017-01-19 08:25:00,-0.22330860867607877,1.5622432901431713,-2.417525728584567
2017-01-19 16:10:00,-0.09107279275353443,1.471170497389637,-2.5085985213381012
2017-01-20 09:45:00,-0.34149999999999636,1.1296704973896405,-2.8500985213380976
2017-01-20 16:00:00,-0.01770759761883592,1.1119628997708046,-2.8678061189569335
2017-01-20 17:05:00,-1.310945273631807,-0.19898237386100237,-4.17875139258874
2017-01-23 08:35:00,-1.3339269813002101,-1.5329093551612125,-5.512678373888951
2017-01-23 14:50:00,0.4194492254733933,-1.1134601296878193,-5.093229148415557
2017-01-23 17:15:00,0.9707911957170483,-0.14266893397077096,-4.122437952698509
2017-01-24 15:25:00,-1.2016400053770586,-1.3443089393478296,-5.324077958075568
2017-01-26 14:40:00,-0.2008351072540216,-1.5451440466018511,-5.5249130653295895
2017-01-26 15:35:00,0.057369682444497916,-1.487774364157353,-5.467543382885092
2017-01-26 16:50:00,0.14429245282999661,-1.3434819113273564,-5.323250930055094
2017-01-27 16:30:00,-0.03350000000000364,-1.37698191132736,-5.356750930055098
2017-01-27 17:40:00,-0.1217685271112035,-1.4987504384385635,-5.478519457166302
2017-02-01 15:30:00,0.5425125518445492,-0.9562378865940143,-4.936006905321753
2017-02-02 14:40:00,0.4269676340618646,-0.5292702525321498,-4.509039271259888
2017-02-02 17:25:00,-1.206015657189922,-1.7352859097220719,-5.71505492844981
2017-02-03 17:20:00,-1.166315556048338,-2.90160146577041,-6.881370484498149
2017-02-06 09:00:00,0.36999999999989086,-2.5316014657705193,-6.511370484498258
2017-02-06 15:10:00,0.6688787001285654,-1.8627227656419538,-5.842491784369692
2017-02-07 09:05:00,-0.02125363610782599,-1.8839764017497798,-5.8637454204775175
2017-02-08 08:15:00,-0.3005000000000564,-2.184476401749836,-6.164245420477574
2017-02-08 09:15:00,-0.3321249999999054,-2.5166014017497416,-6.496370420477479
2017-02-08 10:25:00,-1.2877421830039424,-3.804343584753684,-7.784112603481422
2017-02-08 14:55:00,-0.006262213536943839,-3.8106057982906276,-7.790374817018366
2017-02-09 10:55:00,-1.375,-5.185605798290627,-9.165374817018366
2017-02-10 09:50:00,-0.081007378889938,-5.266613177180565,-9.246382195908303
2017-02-10 15:55:00,-0.09281823394488661,-5.359431411125452,-9.33920042985319
2017-02-13 16:15:00,-1.1923570146191163,-6.551788425744568,-10.531557444472305
2017-02-14 08:25:00,-0.09045613314167725,-6.642244558886245,-10.622013577613982
2017-02-14 15:50:00,-1.0909862913987582,-7.733230850285003,-11.71299986901274
2017-02-15 15:05:00,1.4675345898245749,-6.2656962604604285,-10.245465279188167
2017-02-16 07:55:00,-0.28756250000003547,-6.553258760460464,-10.533027779188203
2017-02-16 09:05:00,-0.07305194805205129,-6.6263107085125155,-10.606079727240253
2017-02-16 14:45:00,0.1759675258136637,-6.450343182698852,-10.43011220142659
2017-02-16 15:10:00,0.6833411433926416,-5.7670020393062105,-9.746771058033948
2017-02-17 15:25:00,-1.1803101334295096,-6.94731217273572,-10.927081191463458
2017-02-17 16:30:00,-0.324500000000171,-7.271812172735891,-11.251581191463629
2017-02-20 15:00:00,-1.2541080806368754,-8.525920253372767,-12.505689272100506
2017-02-21 15:00:00,0.7930981829288675,-7.7328220704439,-11.712591089171639
2017-02-22 15:00:00,-0.0729715828725866,-7.805793653316487,-11.785562672044225
2017-02-22 16:00:00,1.3908913467795723,-6.414902306536915,-10.394671325264653
2017-02-23 09:35:00,-0.05491753207094119,-6.469819838607856,-10.449588857335595
2017-02-24 08:25:00,0.08787551717923706,-6.38194432142862,-10.361713340156358
2017-02-24 09:55:00,-0.06417565485373466,-6.446119976282354,-10.425888995010093
2017-02-24 15:10:00,4.167376448450044,-2.27874352783231,-6.258512546560048
2017-02-27 14:50:00,-0.35637500000007094,-2.6351185278323808,-6.614887546560119
2017-02-28 08:15:00,-0.02042322834614005,-2.6555417561785206,-6.635310774906259
2017-02-28 15:00:00,0.17374999999992724,-2.4817917561785934,-6.4615607749063315
2017-02-28 15:55:00,-0.12287855411066391,-2.6046703102892574,-6.584439329016996
2017-03-01 07:35:00,3.1782499999999345,0.5735796897106771,-3.406189329017061
2017-03-02 07:35:00,0.0,0.5735796897106771,-3.406189329017061
2017-03-02 09:20:00,0.08562874251494272,0.6592084322256198,-3.3205605865021184
2017-03-03 10:00:00,0.09671803230118106,0.7559264645268008,-3.2238425542009375
2017-03-03 15:50:00,-0.1193814829044202,0.6365449816223806,-3.3432240371053576
2017-03-06 14:50:00,0.029573590096329608,0.6661185717187103,-3.313650447009028
2017-03-06 16:40:00,0.0986740854740996,0.7647926571928099,-3.2149763615349283
2017-03-07 09:40:00,0.18193374981839866,0.9467264070112085,-3.03304261171653
2017-03-07 14:45:00,0.0670785804815967,1.0138049874928052,-2.965964031234933
2017-03-08 17:30:00,-1.1324854266030722,-0.11868043911026693,-4.098449457838005
2017-03-09 14:40:00,-0.06006148025535333,-0.17874191936562026,-4.158510938093358
2017-03-09 17:40:00,-0.1054598297695267,-0.28420174913514695,-4.263970767862885
